switchID_t, priority, qid, enq_qdepth0, enq_qdepth1, totalLen, switchID_t, priority, qid, enq_qdepth0, enq_qdepth1, totalLen
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,63,0,36
2,0,0,0,0,48,1,0,0,2,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,7,0,36
2,0,0,10,0,48,1,0,0,1,0,36
2,0,0,1,0,48,1,0,0,38,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,3,0,36
2,0,0,4,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,63,0,36
2,0,0,2,0,48,1,0,0,1,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,43,0,36
2,0,0,0,0,48,1,0,0,0,0,36
2,0,0,0,0,48,1,0,0,27,0,36
2,0,0,5,0,48,1,0,0,2,0,36
